"caseid","v212","v301","v302","v191","v133","v102","v104","v005","v000","v007","v001","v002","v025","v525","v717","v613","v012","SurveyId"
"    00061518  3",NA,3,3,72743,12,1,95,1671466,"CO7",2015,6,1518,1,14,3,3,23,"CO2015DHS"
"    00071315  2",NA,3,3,74122,16,1,95,1113806,"CO7",2015,7,1315,1,18,7,2,36,"CO2015DHS"
"    00071416  3",NA,3,3,102295,16,1,95,1382816,"CO7",2015,7,1416,1,19,1,2,32,"CO2015DHS"
"    00071416  4",NA,3,3,102295,12,1,95,1181333,"CO7",2015,7,1416,1,20,2,2,28,"CO2015DHS"
"    00071517  4",22,3,3,110725,13,1,2,1113806,"CO7",2015,7,1517,1,17,2,2,37,"CO2015DHS"
"    00071720  3",NA,3,3,68535,14,1,0,1151265,"CO7",2015,7,1720,1,18,0,5,21,"CO2015DHS"
"    00071720  4",NA,3,3,68535,4,1,12,1006337,"CO7",2015,7,1720,1,15,0,3,16,"CO2015DHS"
"    00071923  2",NA,3,0,74087,16,1,10,1181333,"CO7",2015,7,1923,1,21,3,3,28,"CO2015DHS"
"    00071923  3",NA,3,0,74087,16,1,13,1181333,"CO7",2015,7,1923,1,0,1,4,27,"CO2015DHS"
"    00081113  1",23,3,3,43185,12,1,18,646199,"CO7",2015,8,1113,1,18,7,0,28,"CO2015DHS"
"    00081315  2",NA,3,3,107869,16,1,95,646199,"CO7",2015,8,1315,1,21,1,2,29,"CO2015DHS"
"    00081416  3",25,3,3,89141,16,1,95,696552,"CO7",2015,8,1416,1,18,1,3,41,"CO2015DHS"
"    00081416  5",NA,3,0,89141,8,1,95,550475,"CO7",2015,8,1416,1,0,0,1,16,"CO2015DHS"
"    00081517  2",17,3,3,90614,14,1,95,609261,"CO7",2015,8,1517,1,15,1,3,35,"CO2015DHS"
"    00081517  3",NA,3,3,90614,12,1,1,550475,"CO7",2015,8,1517,1,17,4,2,18,"CO2015DHS"
"    00081517  4",NA,3,0,90614,10,1,95,550475,"CO7",2015,8,1517,1,0,0,2,16,"CO2015DHS"
"    00081618  1",15,3,3,72855,11,1,95,696552,"CO7",2015,8,1618,1,14,2,2,43,"CO2015DHS"
"    00081618  3",21,3,3,72855,13,1,95,646199,"CO7",2015,8,1618,1,16,7,2,27,"CO2015DHS"
"    00081619  2",20,3,3,87636,13,1,95,609261,"CO7",2015,8,1619,1,17,2,6,35,"CO2015DHS"
"    00081619  3",NA,3,0,87636,7,1,95,597708,"CO7",2015,8,1619,1,0,0,2,14,"CO2015DHS"
"    00081721  2",19,3,3,85413,11,1,0,602874,"CO7",2015,8,1721,1,19,3,3,48,"CO2015DHS"
"    00081721  5",21,3,3,85413,13,1,95,629752,"CO7",2015,8,1721,1,16,3,2,23,"CO2015DHS"
"    00091010  1",20,3,3,83404,8,1,95,342884,"CO7",2015,9,1010,1,19,3,4,48,"CO2015DHS"
"    00091010  2",NA,3,3,83404,14,1,95,358171,"CO7",2015,9,1010,1,16,8,3,21,"CO2015DHS"
"    00091011  2",27,3,3,79180,13,1,95,346517,"CO7",2015,9,1011,1,21,7,2,38,"CO2015DHS"
"    00091012  5",17,3,3,95846,11,1,15,313083,"CO7",2015,9,1012,1,16,7,2,18,"CO2015DHS"
"    00091014  2",18,3,3,117551,12,1,95,346517,"CO7",2015,9,1014,1,16,3,1,36,"CO2015DHS"
"    00091014  3",NA,3,0,117551,12,1,95,313083,"CO7",2015,9,1014,1,0,0,1,17,"CO2015DHS"
"    00091014  6",NA,3,0,117551,6,1,95,339946,"CO7",2015,9,1014,1,0,0,2,14,"CO2015DHS"
"    00091116  2",18,3,3,74112,16,1,15,430209,"CO7",2015,9,1116,1,15,1,3,33,"CO2015DHS"
"    00091116  4",NA,3,0,74112,7,1,95,339946,"CO7",2015,9,1116,1,0,0,3,14,"CO2015DHS"
"    00091217  2",23,3,3,59232,13,1,95,346517,"CO7",2015,9,1217,1,22,9,3,35,"CO2015DHS"
"    00101313  1",19,3,3,114731,16,1,13,511780,"CO7",2015,10,1313,1,17,3,3,37,"CO2015DHS"
"    00101313  2",NA,3,0,114731,11,1,95,462399,"CO7",2015,10,1313,1,0,0,3,17,"CO2015DHS"
"    00101313  4",NA,3,3,114731,13,1,95,462399,"CO7",2015,10,1313,1,16,2,4,19,"CO2015DHS"
"    00101515  1",23,3,3,48923,13,1,95,511780,"CO7",2015,10,1515,1,18,3,3,39,"CO2015DHS"
"    00101515  2",NA,3,0,48923,8,1,4,462399,"CO7",2015,10,1515,1,15,0,2,15,"CO2015DHS"
"    00101616  4",NA,3,3,62087,12,1,95,542807,"CO7",2015,10,1616,1,19,7,1,27,"CO2015DHS"
"    00101616  5",NA,3,0,62087,8,1,4,502074,"CO7",2015,10,1616,1,0,0,3,14,"CO2015DHS"
"    00101717  2",25,3,3,21289,13,1,2,635386,"CO7",2015,10,1717,1,17,7,2,31,"CO2015DHS"
"    00101818  2",16,3,3,102289,14,1,95,506414,"CO7",2015,10,1818,1,14,1,2,45,"CO2015DHS"
"    00102022  1",19,3,3,55602,14,1,21,635386,"CO7",2015,10,2022,1,18,3,2,34,"CO2015DHS"
"    00102022  2",NA,3,0,55602,10,1,8,462399,"CO7",2015,10,2022,1,0,0,2,15,"CO2015DHS"
"    00102023  1",20,3,3,67941,12,1,2,542807,"CO7",2015,10,2023,1,18,2,3,27,"CO2015DHS"
"    00102025  2",17,3,3,69135,11,1,5,585104,"CO7",2015,10,2025,1,16,7,1,41,"CO2015DHS"
"    00111213  2",NA,3,3,67339,16,1,0,578612,"CO7",2015,11,1213,1,16,1,3,28,"CO2015DHS"
"    00111314  3",NA,3,0,105464,9,1,95,492900,"CO7",2015,11,1314,1,0,0,2,15,"CO2015DHS"
"    00111314  4",30,3,3,105464,12,1,95,545538,"CO7",2015,11,1314,1,26,1,4,36,"CO2015DHS"
"    00111415  5",NA,3,0,39186,4,1,95,535192,"CO7",2015,11,1415,1,0,0,2,13,"CO2015DHS"
"    00111819  2",18,3,3,116848,14,1,95,623699,"CO7",2015,11,1819,1,16,1,4,43,"CO2015DHS"
"    00112021  2",22,3,3,39499,14,1,95,623699,"CO7",2015,11,2021,1,21,1,4,40,"CO2015DHS"
"    00112021  4",NA,3,0,39499,8,1,95,492900,"CO7",2015,11,2021,1,0,0,3,15,"CO2015DHS"
"    00112122  4",NA,3,3,50443,13,1,95,545538,"CO7",2015,11,2122,1,13,3,2,35,"CO2015DHS"
"    00112425  5",NA,3,0,83545,11,1,7,492900,"CO7",2015,11,2425,1,0,0,2,18,"CO2015DHS"
"    00112425  6",NA,3,0,83545,9,1,9,492900,"CO7",2015,11,2425,1,0,0,2,16,"CO2015DHS"
"    00119010  2",18,3,3,119959,14,1,14,578612,"CO7",2015,11,9010,1,14,3,2,26,"CO2015DHS"
"    00119010  5",18,3,3,119959,9,1,14,539818,"CO7",2015,11,9010,1,17,7,4,47,"CO2015DHS"
"    00119010  6",NA,3,0,119959,9,1,95,492900,"CO7",2015,11,9010,1,0,0,1,15,"CO2015DHS"
"    00119021  1",31,3,3,-34443,14,1,95,623699,"CO7",2015,11,9021,1,18,2,2,42,"CO2015DHS"
"    00121313  5",NA,3,3,77509,13,1,95,511673,"CO7",2015,12,1313,1,18,1,3,23,"CO2015DHS"
"    00121313  6",24,3,3,77509,15,1,26,525037,"CO7",2015,12,1313,1,22,2,1,27,"CO2015DHS"
"    00121616  1",NA,3,3,62723,13,1,0,525037,"CO7",2015,12,1616,1,18,2,2,27,"CO2015DHS"
"    00121616  2",NA,3,0,62723,12,1,0,447261,"CO7",2015,12,1616,1,0,7,2,19,"CO2015DHS"
"    00121616  3",NA,3,0,62723,9,1,0,447261,"CO7",2015,12,1616,1,0,0,1,17,"CO2015DHS"
"    00121717  2",21,3,3,117764,13,1,2,565949,"CO7",2015,12,1717,1,19,1,3,43,"CO2015DHS"
"    00121717  3",NA,3,0,117764,16,1,95,511673,"CO7",2015,12,1717,1,0,1,2,22,"CO2015DHS"
